ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1880/7/27,29.5,8,1
1880/7/28,26.3,8,1
1880/7/29,29.3,8,1
1880/7/30,30.3,8,1
1880/7/31,31.7,8,1
1880/8/1,33.2,8,1
1880/8/2,32.2,8,1
1880/8/3,30.3,8,1
1880/8/4,30.8,8,1
1880/8/5,31.2,8,1
1880/8/6,30.5,8,1
1880/8/7,30.1,8,1
1880/8/8,30.1,8,1
1880/8/9,27.4,8,1
1880/8/10,29.3,8,1
1880/8/11,28.9,8,1
1880/8/12,26.2,8,1
1880/8/13,30.2,8,1
1880/8/14,29.2,8,1
1880/8/15,29.7,8,1
1880/8/16,29.7,8,1
1880/8/17,30.1,8,1
1880/8/18,30.2,8,1
1880/8/19,29.6,8,1
1880/8/20,30.2,8,1
1880/8/21,31.2,8,1
1880/8/22,30.7,8,1
1880/8/23,30.6,8,1
1880/8/24,32.8,8,1
1880/8/25,30.6,8,1
1880/8/26,31.6,8,1
1880/8/27,25.9,8,1
1880/8/28,26.8,8,1
1880/8/29,27.2,8,1
1880/8/30,27.3,8,1
1880/8/31,22.0,8,1
1880/9/1,25.7,8,1
1880/9/2,26.7,8,1
1880/9/3,26.8,8,1
1880/9/4,27.5,8,1
1880/9/5,23.5,8,1
1880/9/6,23.3,8,1
1880/9/7,29.0,8,1
1880/9/8,30.0,8,1
1880/9/9,27.8,8,1
1880/9/10,29.3,8,1
1880/9/11,30.4,8,1
1880/9/12,28.1,8,1
1880/9/13,28.5,8,1
1880/9/14,28.6,8,1
1880/9/15,29.0,8,1
1880/9/16,27.9,8,1
1880/9/17,27.4,8,1
1880/9/18,26.7,8,1
1880/9/19,27.1,8,1
1880/9/20,26.9,8,1
1880/9/21,29.0,8,1
1880/9/22,29.2,8,1
1880/9/23,32.2,8,1
1880/9/24,23.9,8,1
1880/9/25,24.4,8,1
1880/9/26,21.8,8,1
1880/9/27,25.1,8,1
