ダウンロードした時刻：2022/07/04 13:36:20

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1872/1/1,,0,1
1872/1/2,,0,1
1872/1/3,,0,1
1872/1/4,,0,1
1872/1/5,,0,1
1872/1/6,,0,1
1872/1/7,,0,1
1872/1/8,,0,1
1872/1/9,,0,1
1872/1/10,,0,1
1872/1/11,,0,1
1872/1/12,,0,1
1872/1/13,,0,1
1872/1/14,,0,1
1872/1/15,,0,1
1872/1/16,,0,1
1872/1/17,,0,1
1872/1/18,,0,1
1872/1/19,,0,1
1872/1/20,,0,1
1872/1/21,,0,1
1872/1/22,,0,1
1872/1/23,,0,1
1872/1/24,,0,1
1872/1/25,,0,1
1872/1/26,,0,1
1872/1/27,,0,1
1872/1/28,,0,1
1872/1/29,,0,1
1872/1/30,,0,1
1872/1/31,,0,1
1872/2/1,,0,1
1872/2/2,,0,1
1872/2/3,,0,1
1872/2/4,,0,1
1872/2/5,,0,1
1872/2/6,,0,1
1872/2/7,,0,1
1872/2/8,,0,1
1872/2/9,,0,1
1872/2/10,,0,1
1872/2/11,,0,1
1872/2/12,,0,1
1872/2/13,,0,1
1872/2/14,,0,1
1872/2/15,,0,1
1872/2/16,,0,1
1872/2/17,,0,1
1872/2/18,,0,1
1872/2/19,,0,1
1872/2/20,,0,1
1872/2/21,,0,1
1872/2/22,,0,1
1872/2/23,,0,1
1872/2/24,,0,1
1872/2/25,,0,1
1872/2/26,,0,1
1872/2/27,,0,1
1872/2/28,,0,1
1872/2/29,,0,1
1872/3/1,,0,1
1872/3/2,,0,1
1872/3/3,,0,1
1872/3/4,,0,1
1872/3/5,,0,1
1872/3/6,,0,1
1872/3/7,,0,1
1872/3/8,,0,1
1872/3/9,,0,1
1872/3/10,,0,1
1872/3/11,,0,1
1872/3/12,,0,1
1872/3/13,,0,1
1872/3/14,,0,1
1872/3/15,,0,1
1872/3/16,,0,1
1872/3/17,,0,1
1872/3/18,,0,1
1872/3/19,,0,1
1872/3/20,,0,1
1872/3/21,,0,1
1872/3/22,,0,1
1872/3/23,,0,1
1872/3/24,,0,1
1872/3/25,,0,1
1872/3/26,,0,1
1872/3/27,,0,1
1872/3/28,,0,1
1872/3/29,,0,1
1872/3/30,,0,1
1872/3/31,,0,1
1872/4/1,,0,1
1872/4/2,,0,1
1872/4/3,,0,1
1872/4/4,,0,1
1872/4/5,,0,1
1872/4/6,,0,1
1872/4/7,,0,1
1872/4/8,,0,1
1872/4/9,,0,1
1872/4/10,,0,1
1872/4/11,,0,1
1872/4/12,,0,1
1872/4/13,,0,1
1872/4/14,,0,1
1872/4/15,,0,1
1872/4/16,,0,1
1872/4/17,,0,1
1872/4/18,,0,1
1872/4/19,,0,1
1872/4/20,,0,1
1872/4/21,,0,1
1872/4/22,,0,1
1872/4/23,,0,1
1872/4/24,,0,1
1872/4/25,,0,1
1872/4/26,,0,1
1872/4/27,,0,1
1872/4/28,,0,1
1872/4/29,,0,1
1872/4/30,,0,1
1872/5/1,,0,1
1872/5/2,,0,1
1872/5/3,,0,1
1872/5/4,,0,1
1872/5/5,,0,1
1872/5/6,,0,1
1872/5/7,,0,1
1872/5/8,,0,1
1872/5/9,,0,1
1872/5/10,,0,1
1872/5/11,,0,1
1872/5/12,,0,1
1872/5/13,,0,1
1872/5/14,,0,1
1872/5/15,,0,1
1872/5/16,,0,1
1872/5/17,,0,1
1872/5/18,,0,1
1872/5/19,,0,1
1872/5/20,,0,1
1872/5/21,,0,1
1872/5/22,,0,1
1872/5/23,,0,1
1872/5/24,,0,1
1872/5/25,,0,1
1872/5/26,,0,1
1872/5/27,,0,1
1872/5/28,,0,1
1872/5/29,,0,1
1872/5/30,,0,1
1872/5/31,,0,1
1872/6/1,,0,1
1872/6/2,,0,1
1872/6/3,,0,1
1872/6/4,,0,1
1872/6/5,,0,1
1872/6/6,,0,1
1872/6/7,,0,1
1872/6/8,,0,1
1872/6/9,,0,1
1872/6/10,,0,1
1872/6/11,,0,1
1872/6/12,,0,1
1872/6/13,,0,1
1872/6/14,,0,1
1872/6/15,,0,1
1872/6/16,,0,1
1872/6/17,,0,1
1872/6/18,,0,1
1872/6/19,,0,1
1872/6/20,,0,1
1872/6/21,,0,1
1872/6/22,,0,1
1872/6/23,,0,1
1872/6/24,,0,1
1872/6/25,,0,1
1872/6/26,,0,1
1872/6/27,,0,1
1872/6/28,,0,1
1872/6/29,,0,1
1872/6/30,,0,1
1872/7/1,,0,1
1872/7/2,,0,1
1872/7/3,,0,1
1872/7/4,,0,1
1872/7/5,,0,1
1872/7/6,,0,1
1872/7/7,,0,1
1872/7/8,,0,1
1872/7/9,,0,1
1872/7/10,,0,1
1872/7/11,,0,1
1872/7/12,,0,1
1872/7/13,,0,1
1872/7/14,,0,1
1872/7/15,,0,1
1872/7/16,,0,1
1872/7/17,,0,1
1872/7/18,,0,1
1872/7/19,,0,1
1872/7/20,,0,1
1872/7/21,,0,1
1872/7/22,,0,1
1872/7/23,,0,1
1872/7/24,,0,1
1872/7/25,,0,1
1872/7/26,,0,1
1872/7/27,,0,1
1872/7/28,,0,1
1872/7/29,,0,1
1872/7/30,,0,1
1872/7/31,,0,1
1872/8/1,,0,1
1872/8/2,,0,1
1872/8/3,,0,1
1872/8/4,,0,1
1872/8/5,,0,1
